"C02173V02619","Area of Residence","TLIST(A1)","Year","STATISTIC","Statistic Label","UNIT","VALUE"
"ZZAC2","Australia and New Zealand","2019","2019","TMA09C1","Overseas Trips to Ireland by Non-Residents","Thousand","225"
"ZZAC2","Australia and New Zealand","2019","2019","TMA09C2","Average Length of Stay by Overseas Travellers to Ireland","Nights","11.6"
"ZZAC2","Australia and New Zealand","2019","2019","TMA09C3","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","206"
"ZZEURQ06","Other Europe (14)","2009","2009","TMA09C1","Overseas Trips to Ireland by Non-Residents","Thousand","2388"
"ZZEURQ06","Other Europe (14)","2009","2009","TMA09C2","Average Length of Stay by Overseas Travellers to Ireland","Nights","9.9"
"ZZEURQ06","Other Europe (14)","2009","2009","TMA09C3","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","1342"
"ZZEURQ06","Other Europe (14)","2010","2010","TMA09C1","Overseas Trips to Ireland by Non-Residents","Thousand","2092"
"ZZEURQ06","Other Europe (14)","2010","2010","TMA09C2","Average Length of Stay by Overseas Travellers to Ireland","Nights","10"
"ZZEURQ06","Other Europe (14)","2010","2010","TMA09C3","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","1134"
"ZZEURQ06","Other Europe (14)","2011","2011","TMA09C1","Overseas Trips to Ireland by Non-Residents","Thousand","1239"
"ZZEURQ06","Other Europe (14)","2011","2011","TMA09C2","Average Length of Stay by Overseas Travellers to Ireland","Nights","10.2"
